GROUPID,KESATUAN
91714,KODIM 1714 - Puncak Jaya
9174,KOREM 174 - Anim TI Wanianggap
91707,KODIM 1707 - Merauke
91710,KODIM 1710 - Mimika
91711,KODIM 1711 - Boven Digoel
992,KODAM XVIII - Kasuari
91801,KODIM 1801 - Manokwari
9181,KOREM 181 - Praja Vira Tama
91802,KODIM 1802 - Sorong
91805,KODIM 1805 - Raja Ampat
91807,KODIM 1807 - Sorong Selatan
91808,KODIM 1808 - Manokwari Selatan
91809,KODIM 1809 - Maybrat
91810,KODIM 1810 - Tambrauw
9182,KOREM 182 - Jazira Onim
91803,KODIM 1803 - Fakfak
91804,KODIM 1804 - Kaimana
91806,KODIM 1806 - Teluk Bintuni
